repeat,shift_index,shift,causal_renal_path_estimate,true_renal_path,causal_inflammation_path_estimate,true_inflammation_path,adjusted_irrelevant_slope_rms,target_missing_fraction,target_all_missing_rate
39,1,Mild shift,1.614218211280992,1.25,0.8104947054075622,0.8,0.3706708780219872,0.09166666666666666,0.002
39,2,Moderate shift,1.7879283419880183,1.5,0.5718437271082673,0.8,0.3023135520058334,0.15966666666666668,0.004
39,3,Strong shift,1.4365744137192469,1.8,1.0398674900342875,0.8,0.32554105893640367,0.269,0.02
40,0,No shift,0.8971883805025318,1.0,0.7154191179173891,0.8,0.2110198008417578,0.05,0.0
40,1,Mild shift,1.1102583794742278,1.25,0.9562740273559317,0.8,0.13778707143030006,0.09466666666666666,0.002
40,2,Moderate shift,1.4539121517161013,1.5,0.982822121318416,0.8,0.19392854474392532,0.16466666666666666,0.005
40,3,Strong shift,1.787562449540634,1.8,0.7078329767683443,0.8,0.16039257135660273,0.27,0.017
41,0,No shift,1.0204939121132426,1.0,0.9600334402193301,0.8,0.16548366687662464,0.059333333333333335,0.0
41,1,Mild shift,1.1901757893717713,1.25,1.0407546941974666,0.8,0.11199449317354776,0.09666666666666666,0.0
41,2,Moderate shift,1.5804774948045905,1.5,0.7773991762582753,0.8,0.2548893185698614,0.16333333333333333,0.004
41,3,Strong shift,1.9928278108014867,1.8,0.8894248898283219,0.8,0.2555081783379797,0.26966666666666667,0.018
42,0,No shift,0.9094327982743304,1.0,0.8010941589032301,0.8,0.14828441053519767,0.06066666666666667,0.0
42,1,Mild shift,1.3868908937891546,1.25,0.8353032523551893,0.8,0.16798327461108867,0.09766666666666667,0.0
42,2,Moderate shift,1.6014501282946263,1.5,0.6440152083317592,0.8,0.1635946791798345,0.16333333333333333,0.005
42,3,Strong shift,1.613030680608172,1.8,1.1250222303128203,0.8,0.2212949248421747,0.2653333333333333,0.021
43,0,No shift,0.7914430736464878,1.0,1.0051052308163548,0.8,0.1500627653976006,0.053,0.0
43,1,Mild shift,1.1921739930864863,1.25,0.7462315987982073,0.8,0.18249157431558424,0.093,0.001
43,2,Moderate shift,1.5622171632042459,1.5,0.7517504492637584,0.8,0.18955394966227745,0.15133333333333332,0.005
43,3,Strong shift,1.7295353662244344,1.8,0.8274038957516741,0.8,0.17531094590269344,0.25666666666666665,0.016
44,0,No shift,1.2130247199256865,1.0,0.4751185071310803,0.8,0.08076488708341932,0.055,0.0
44,1,Mild shift,1.4019383719450567,1.25,0.6828838229455091,0.8,0.16192150155680343,0.10066666666666667,0.001
44,2,Moderate shift,1.617985314807464,1.5,0.6833513119995965,0.8,0.19473787302775722,0.16566666666666666,0.002
44,3,Strong shift,1.690219620915006,1.8,0.9062541029396785,0.8,0.16635897678327577,0.272,0.016
45,0,No shift,1.3454085117026924,1.0,0.8009061187802836,0.8,0.2040677274285154,0.055,0.0
45,1,Mild shift,1.6625064769884297,1.25,0.6546705719250612,0.8,0.18260541207340775,0.096,0.0
45,2,Moderate shift,1.9089255104326317,1.5,0.808289168343273,0.8,0.14176855668486088,0.16566666666666666,0.003
45,3,Strong shift,1.3286378452744303,1.8,0.8031218940606563,0.8,0.1805622492563798,0.27066666666666667,0.019
46,0,No shift,0.9769142591952623,1.0,0.7052270924230666,0.8,0.25808932196629364,0.050333333333333334,0.0
46,1,Mild shift,1.182185958445609,1.25,0.7609575883402522,0.8,0.29217522715853783,0.089,0.001
46,2,Moderate shift,1.4556153090255384,1.5,0.6540702281387055,0.8,0.30092438981463865,0.16533333333333333,0.005
46,3,Strong shift,1.8314045530258938,1.8,0.8345680964603251,0.8,0.3158074973416708,0.27166666666666667,0.02
47,0,No shift,1.2165118136546598,1.0,0.9191063898213744,0.8,0.21610404523392798,0.05333333333333334,0.0
47,1,Mild shift,1.4439012636548485,1.25,0.6596166947379208,0.8,0.13370640823574448,0.099,0.001
47,2,Moderate shift,1.6533862394756813,1.5,0.8266889597906134,0.8,0.1163721742001624,0.172,0.005
47,3,Strong shift,1.5213299593094458,1.8,0.8898324949728755,0.8,0.05289704482471651,0.276,0.021
48,0,No shift,1.0650707457652124,1.0,0.8138919750721392,0.8,0.18797925618173433,0.055,0.0
48,1,Mild shift,1.2367671072173438,1.25,0.9439759168699092,0.8,0.1283317147793545,0.09933333333333333,0.003
48,2,Moderate shift,1.5003972955226825,1.5,0.741954055600019,0.8,0.10567451762075261,0.17266666666666666,0.005
48,3,Strong shift,2.0728991141029063,1.8,0.9105893576057271,0.8,0.12055509993566885,0.2663333333333333,0.025
49,0,No shift,0.8756946534326896,1.0,0.7649740409695978,0.8,0.11303701161772123,0.06,0.001
49,1,Mild shift,1.0647974328447154,1.25,0.5903957436739468,0.8,0.07741717892332778,0.10033333333333333,0.001
49,2,Moderate shift,1.4053368225317435,1.5,0.4974776025719224,0.8,0.15418457371867633,0.17,0.006
49,3,Strong shift,1.9155961757136428,1.8,1.1937173914919978,0.8,0.16297288018406667,0.2673333333333333,0.022
