file,level,method,metric,value_v1,value_v2,absolute_difference,reported_v1,reported_v2,changes_at_reported_precision
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Renal-adjusted associative latent class model,expected_calibration_error,0.0452145971925974,0.0452145971925974,0.0,0.0452,0.0452,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Renal-adjusted associative latent class model,false_atrial_renal_competing,0.1876018285349494,0.1876018285349494,0.0,18.8,18.8,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Renal-adjusted associative latent class model,mean_posterior_entropy,0.3687933718278059,0.3687933718278059,0.0,,,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Renal-adjusted associative latent class model,predicted_atrial_prevalence,0.498194,0.498194,0.0,49.8,49.8,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Associative latent class model,accuracy,0.806336,0.806336,0.0,80.6,80.6,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Associative latent class model,adjusted_rand_index,0.3757055604449814,0.3757055604449814,0.0,0.376,0.376,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Associative latent class model,brier_score,0.1360221696775422,0.1360221696775422,0.0,0.136,0.136,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Associative latent class model,expected_calibration_error,0.0521411410939477,0.0521411410939477,0.0,0.0521,0.0521,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Associative latent class model,false_atrial_renal_competing,0.3414250620404333,0.3414250620404333,0.0,34.1,34.1,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Associative latent class model,mean_posterior_entropy,0.3697908665354113,0.3697908665354114,5.551115123125783e-17,,,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.5,method=Associative latent class model,predicted_atrial_prevalence,0.50255,0.50255,0.0,50.3,50.3,False
