heart_failure_effect_sd,comparator,metric,difference_definition,repeat_count,mean_difference,ci95_low,ci95_high
0.65,Two-nuisance adjusted associative latent model,accuracy__heart_failure_only,causal SCM minus comparator,500,0.00217816209056332,-5.410409426714023e-05,0.00441042827539378
0.65,Two-nuisance adjusted associative latent model,accuracy__redundant,causal SCM minus comparator,500,0.01675713074290541,0.008787390070044126,0.024726871415766693
0.65,Two-nuisance adjusted associative latent model,accuracy__renal_only,causal SCM minus comparator,500,0.01197457607712715,0.008922564822225733,0.015026587332028569
0.65,Two-nuisance adjusted associative latent model,accuracy__uncomplicated,causal SCM minus comparator,500,0.00014427691523649332,-0.0004289097477967995,0.0007174635782697861
0.65,Two-nuisance adjusted associative latent model,false_atrial__heart_failure_only,causal SCM minus comparator,500,0.006360329665155236,0.002023961952332654,0.010696697377977817
0.65,Two-nuisance adjusted associative latent model,false_atrial__redundant,causal SCM minus comparator,499,-0.03370150223857639,-0.04774211256778657,-0.01966089190936621
0.65,Two-nuisance adjusted associative latent model,false_atrial__renal_only,causal SCM minus comparator,500,-0.036484937514312324,-0.045967500066005834,-0.027002374962618817
0.65,Two-nuisance adjusted associative latent model,false_atrial__uncomplicated,causal SCM minus comparator,500,0.005546584077459247,0.0034675692736037336,0.00762559888131476
0.65,Two-nuisance adjusted associative latent model,mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,0.002718842149845484,0.00198009771895369,0.003457586580737278
0.65,Two-nuisance adjusted associative latent model,mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.008294448594241211,0.005188492722109637,0.011400404466372785
0.65,Two-nuisance adjusted associative latent model,mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.007628219167047203,0.005926865225320556,0.009329573108773848
0.65,Two-nuisance adjusted associative latent model,mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,0.002002067549276201,0.0016606522190294312,0.002343482879522971
0.65,Two-path latent SCM (counterfactual query),accuracy,causal SCM minus comparator,500,-0.003196059113300493,-0.003723668061997498,-0.0026684501646034877
0.65,Two-path latent SCM (counterfactual query),adjusted_rand_index,causal SCM minus comparator,500,-0.008153523911891097,-0.009500009226474416,-0.0068070385973077775
0.65,Two-path latent SCM (counterfactual query),false_atrial_renal_competing,causal SCM minus comparator,500,-0.003462816563893496,-0.006435872411719912,-0.0004897607160670799
0.65,Two-path latent SCM (counterfactual query),brier_score,causal SCM minus comparator,500,-0.020225683265703977,-0.020664547236045102,-0.019786819295362853
