heart_failure_effect_sd,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0.0,Renal-adjusted associative latent class model,accuracy__heart_failure_only,500,0.8249676968632554,0.049176675465918064,0.0021992477849847787,0.8206467701020314,0.8292886236244795,0.7142857142857143,0.9090035931453841
0.0,Renal-adjusted associative latent class model,false_atrial__heart_failure_only,500,0.1753655014542628,0.08726849750740459,0.003902765854416552,0.16769762267394753,0.18303338023457807,0.03571428571428571,0.36214285714285693
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy__heart_failure_only,500,0.37229805028564666,0.03647528804708042,0.0016312244714431472,0.369093135623304,0.37550296494798935,0.2973616803514084,0.44449772548936
0.0,Renal-adjusted associative latent class model,subgroup_size__heart_failure_only,500,57.146,7.3192778096824975,0.32732805457311664,56.50288895068538,57.78911104931462,43.0,72.0
0.0,Renal-adjusted associative latent class model,competing_subgroup_size__heart_failure_only,500,28.636,5.351334184585207,0.2393189401410186,28.16580304448492,29.106196955515077,19.0,39.0
0.0,Renal-adjusted associative latent class model,accuracy__redundant,500,0.8086755016955391,0.10535362875335882,0.004711557511375735,0.7994185661756106,0.8179324372154677,0.5833333333333334,1.0
0.0,Renal-adjusted associative latent class model,false_atrial__redundant,500,0.20495821955821955,0.18963360682354913,0.008480672713518475,0.1882959926226227,0.2216204464938164,0.0,0.6190909090909082
0.0,Renal-adjusted associative latent class model,mean_posterior_entropy__redundant,500,0.3651602550037911,0.06696085645669245,0.0029945805373754,0.35927671460833005,0.3710437953992522,0.22400042099420717,0.4984270584466228
0.0,Renal-adjusted associative latent class model,subgroup_size__redundant,500,13.86,3.771053126563816,0.1686466227551962,13.528655023582056,14.191344976417943,7.475000000000001,22.0
0.0,Renal-adjusted associative latent class model,competing_subgroup_size__redundant,500,6.862,2.6261663121359997,0.11744572788312052,6.631250926582093,7.092749073417907,2.0,12.0
0.0,Two-nuisance adjusted associative latent model,accuracy,500,0.817672906403941,0.013995480267540607,0.0006258969051195547,0.8164431883587243,0.8189026244491576,0.7901477832512315,0.8418965517241379
0.0,Two-nuisance adjusted associative latent model,adjusted_rand_index,500,0.4038587822263229,0.03542048292678234,0.0015840521524031204,0.40074654840563917,0.4069710160470066,0.3360887949206362,0.46703937490139086
0.0,Two-nuisance adjusted associative latent model,false_atrial_renal_competing,500,0.19260886612322015,0.1080438360462565,0.004831867238985433,0.18311555454543504,0.20210217770100525,0.034208211143695016,0.44637209505504094
0.0,Two-nuisance adjusted associative latent model,brier_score,500,0.12806442749460303,0.008541513884892134,0.0003819881135475425,0.12731392422090823,0.12881493076829784,0.11303462852250844,0.14630475779857113
0.0,Two-nuisance adjusted associative latent model,expected_calibration_error,500,0.04374189426606554,0.017858286277465864,0.0007986468415613068,0.042172769343430574,0.04531101918870051,0.018840749987627324,0.08538229691173688
