repeat,renal_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
2,0.0,Renal-adjusted associative latent class model,0.8394088669950739,0.46020683025004233,0.19,0.11812572128420229,0.03582394328364559,0.37041813017447145,0.5704433497536946,100
2,0.0,Two-nuisance adjusted associative latent model,0.8394088669950739,0.46020683025004233,0.19,0.11826242845663823,0.035089389557550366,0.36984188742872964,0.5704433497536946,100
2,0.0,Two-path biologically constrained latent SCM,0.8344827586206897,0.44690515714057844,0.27,0.12021646406010802,0.04145012458429417,0.37062239003872544,0.5753694581280788,100
2,0.0,Two-path latent SCM (counterfactual query),0.8344827586206897,0.44695000921386085,0.19,0.13481706727457726,0.11008395633727339,0.12442470743466134,0.5438423645320197,100
2,0.0,Data-generating oracle (reference),0.8325123152709359,0.44170476529236247,0.17,0.11678091111559577,0.027788668673738148,0.38558117835764316,0.5221674876847291,100
3,0.0,Associative latent class model,0.819704433497537,0.4082607154911546,0.16071428571428573,0.12459799147922969,0.02599559222923876,0.3957949579285167,0.48177339901477834,112
3,0.0,Renal-adjusted associative latent class model,0.8206896551724138,0.4107869126131862,0.16964285714285715,0.12452642935020287,0.026930629888069994,0.39548746871538626,0.48472906403940885,112
3,0.0,Two-nuisance adjusted associative latent model,0.81871921182266,0.40574226670584684,0.16964285714285715,0.12483222766496706,0.027886768130359185,0.39577572585841914,0.48472906403940885,112
3,0.0,Two-path biologically constrained latent SCM,0.8226600985221675,0.4158626434203121,0.14285714285714285,0.12568667756619115,0.032075148668268064,0.3949735607615753,0.48669950738916257,112
3,0.0,Two-path latent SCM (counterfactual query),0.81871921182266,0.40574244629027345,0.16964285714285715,0.14988102095659128,0.12599227479868016,0.1272234521856435,0.45911330049261084,112
3,0.0,Data-generating oracle (reference),0.8226600985221675,0.4158627892151185,0.17857142857142858,0.12253514003569996,0.029102924042639446,0.38488262068018275,0.4630541871921182,112
4,0.0,Associative latent class model,0.8078817733990148,0.3785542418543188,0.2289156626506024,0.1284299319092713,0.022658932864502643,0.3884577334135809,0.5389162561576355,83
4,0.0,Renal-adjusted associative latent class model,0.8019704433497536,0.36412170525369286,0.21686746987951808,0.13160291258362747,0.044355628123543156,0.3853851745331584,0.5527093596059113,83
4,0.0,Two-nuisance adjusted associative latent model,0.8059113300492611,0.3737137698076136,0.21686746987951808,0.1311613143030498,0.03667405085700013,0.3845062282719904,0.554679802955665,83
4,0.0,Two-path biologically constrained latent SCM,0.8029556650246306,0.3665072877647493,0.2289156626506024,0.12925150850068023,0.03255264079543262,0.38653021514409813,0.547783251231527,83
4,0.0,Two-path latent SCM (counterfactual query),0.8078817733990148,0.37855446006738375,0.2289156626506024,0.16164031801152387,0.13654956604641189,0.11676830262653616,0.5408866995073892,83
4,0.0,Data-generating oracle (reference),0.8098522167487685,0.383426794508333,0.21686746987951808,0.12796461672248047,0.019067532817241748,0.38444379647176563,0.5270935960591133,83
5,0.0,Associative latent class model,0.819704433497537,0.4082603290457259,0.21774193548387097,0.12239184424073206,0.05186131955187584,0.36970267473670343,0.5201970443349754,124
5,0.0,Renal-adjusted associative latent class model,0.8295566502463054,0.43387112119849014,0.14516129032258066,0.12327651006266496,0.04620463140477049,0.36386093980438905,0.5300492610837438,124
5,0.0,Two-nuisance adjusted associative latent model,0.8285714285714286,0.4312745320437497,0.14516129032258066,0.12357833338624975,0.045501613472370486,0.3631867211478026,0.5330049261083744,124
5,0.0,Two-path biologically constrained latent SCM,0.8177339901477833,0.403231931434148,0.2661290322580645,0.12525572198913565,0.04455153270155436,0.3678535800900648,0.5103448275862069,124
5,0.0,Two-path latent SCM (counterfactual query),0.8206896551724138,0.4107874839051227,0.22580645161290322,0.14784911142140106,0.12750248456478705,0.10932335289295038,0.4995073891625616,124
5,0.0,Data-generating oracle (reference),0.8246305418719212,0.42096969676441054,0.1935483870967742,0.11986247160730346,0.01777365191738265,0.37405521806631103,0.4876847290640394,124
6,0.0,Associative latent class model,0.8305418719211822,0.4364753204722534,0.21495327102803738,0.11674280659723466,0.021531349216426084,0.3887174200647277,0.5280788177339901,107
6,0.0,Renal-adjusted associative latent class model,0.8285714285714286,0.4312709877293056,0.3364485981308411,0.12071678702532487,0.03143095117377259,0.38448635015723764,0.5517241379310345,107
6,0.0,Two-nuisance adjusted associative latent model,0.8266009852216749,0.42610192526726653,0.3644859813084112,0.12236649054112783,0.02822823571555798,0.3828116867326839,0.5517241379310345,107
6,0.0,Two-path biologically constrained latent SCM,0.8344827586206897,0.44696598064389725,0.2803738317757009,0.11845978247194325,0.02278470397982159,0.38579581719166817,0.5458128078817734,107
6,0.0,Two-path latent SCM (counterfactual query),0.8334975369458129,0.4443328423153176,0.24299065420560748,0.13045673069938601,0.10459729063677874,0.13917005466175145,0.5349753694581281,107
6,0.0,Data-generating oracle (reference),0.8374384236453202,0.4549222381411549,0.14953271028037382,0.11427851484668541,0.03311135453294338,0.38864554612470187,0.503448275862069,107
7,0.0,Associative latent class model,0.8502463054187193,0.4901809422615496,0.14432989690721648,0.11160937418901244,0.041416998786322684,0.37423856158467056,0.5241379310344828,97
7,0.0,Renal-adjusted associative latent class model,0.8463054187192118,0.4791963012103368,0.08247422680412371,0.114569517116444,0.051154137016656526,0.3708948226824133,0.516256157635468,97
7,0.0,Two-nuisance adjusted associative latent model,0.8413793103448276,0.4656303088794863,0.07216494845360824,0.11550923762440929,0.05136502042934953,0.3708259064263252,0.5192118226600986,97
7,0.0,Two-path biologically constrained latent SCM,0.8472906403940886,0.4819286615104029,0.13402061855670103,0.11257809386166005,0.04794455309459581,0.3743397260076492,0.5211822660098522,97
7,0.0,Two-path latent SCM (counterfactual query),0.8463054187192118,0.479155350831877,0.13402061855670103,0.12582140731230673,0.10465944619154892,0.11860315003346868,0.547783251231527,97
7,0.0,Data-generating oracle (reference),0.8492610837438423,0.4873776770846386,0.13402061855670103,0.10862338690342498,0.023134852958270252,0.3738531152116084,0.5527093596059113,97
