repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
69,Target-calibrated associative latent model,True,20,3,-7813.220472046648,0.483246827229379,1.9737279858652803
69,Modular causal latent SCM,True,23,3,-7818.641633150999,0.48189374596302975,1.97260498088982
70,Pooled associative latent class model,True,14,0,-8026.164159347134,0.4988463948689533,2.2669625065051218
70,Target-calibrated associative latent model,True,19,1,-7786.324099354653,0.4828340775259895,2.2234700040202138
70,Modular causal latent SCM,True,19,3,-7791.971069542131,0.4819361319466229,2.2307042195982487
71,Pooled associative latent class model,True,24,2,-7855.689572004703,0.47465906618974285,2.0542284770185533
71,Target-calibrated associative latent model,True,18,3,-7670.215323291028,0.49858604182776606,2.131298081399032
71,Modular causal latent SCM,True,17,0,-7673.628037106777,0.4927005438642395,2.1228976312127954
72,Pooled associative latent class model,True,26,2,-7966.486059969933,0.4767573340076232,1.9336649004118782
72,Target-calibrated associative latent model,True,23,1,-7741.704914191952,0.4663919545292063,1.935162853948186
72,Modular causal latent SCM,True,23,0,-7744.028039880793,0.4702229090037482,1.9546085268233564
73,Pooled associative latent class model,True,23,3,-7961.683055501522,0.47554407406423405,1.7454002280751353
73,Target-calibrated associative latent model,True,23,3,-7744.115936873255,0.47254240008461795,1.8438335528280425
73,Modular causal latent SCM,True,26,2,-7750.6775500903805,0.4751936556665828,1.8413555171997753
74,Pooled associative latent class model,True,24,1,-8032.740965665516,0.4576667768930478,1.8958074109724845
74,Target-calibrated associative latent model,True,19,1,-7822.177815271555,0.46923983856395973,1.939757972307655
74,Modular causal latent SCM,True,19,1,-7822.939748295064,0.46936749066555905,1.9423639740808052
75,Pooled associative latent class model,True,24,3,-8025.377904831319,0.4933497327354577,1.888838204065045
75,Target-calibrated associative latent model,True,15,0,-7821.505075410076,0.4862706115870504,2.0459882415325312
75,Modular causal latent SCM,True,14,0,-7825.222150540202,0.48803300588148646,2.0414938599406236
76,Pooled associative latent class model,True,20,1,-7989.315907148,0.4888046622212007,2.0823680536153946
76,Target-calibrated associative latent model,True,18,1,-7785.968700721116,0.48345734911967525,2.136683857899326
76,Modular causal latent SCM,True,18,1,-7790.863401643905,0.4845439703192714,2.129682945476428
77,Pooled associative latent class model,True,25,1,-8024.829897873624,0.4815202851460778,2.0280624507734064
77,Target-calibrated associative latent model,True,20,1,-7781.733295671109,0.47765795162389496,2.1635486489506888
77,Modular causal latent SCM,True,20,1,-7785.1669864395335,0.47787627120724196,2.156153297342402
78,Pooled associative latent class model,True,29,1,-8033.1390733088065,0.4756155188405825,1.925780925994382
78,Target-calibrated associative latent model,True,28,3,-7810.573345926188,0.48056888665687647,1.935673549453236
78,Modular causal latent SCM,True,27,3,-7811.05012545271,0.47752345243779604,1.9391363636053458
79,Pooled associative latent class model,True,18,1,-8023.5943151152605,0.48504533089732244,2.02468077234973
79,Target-calibrated associative latent model,True,21,2,-7783.431455258802,0.49028917031420094,2.067637971710398
79,Modular causal latent SCM,True,20,3,-7788.661569209584,0.49034653510588355,2.0668464000530724
80,Pooled associative latent class model,True,20,1,-7948.991244493503,0.4849756426715704,1.9938689394734435
80,Target-calibrated associative latent model,True,20,1,-7698.5658116035465,0.4780089977701746,2.020868528828677
80,Modular causal latent SCM,True,19,1,-7698.932742263961,0.4808267629925563,2.019737126268992
81,Pooled associative latent class model,True,22,3,-8065.179417616888,0.4886703355690808,1.9464891410690506
81,Target-calibrated associative latent model,True,23,3,-7842.322365151345,0.46747469119923596,2.027204670405701
81,Modular causal latent SCM,True,27,3,-7846.1796834900015,0.4652370733776422,2.0244276285453355
82,Pooled associative latent class model,True,25,1,-7949.697186870311,0.4783633056592811,2.023865686211252
82,Target-calibrated associative latent model,True,20,1,-7744.179649070176,0.48552770587316657,2.156459202808306
82,Modular causal latent SCM,True,19,1,-7749.8303920317485,0.48571015485210683,2.1433933978156556
83,Pooled associative latent class model,True,24,2,-7881.271386048917,0.4875587901064413,1.773333162250116
