repeat,truth_k,selected_k,select_k2,bic_k1,bic_k2,bic_k2_minus_k1,minimum_k2_weight,k2_converged,k2_iterations
219,1,1,False,8528.309869974546,8575.291124645888,46.98125467134196,0.49843768687178464,True,12
220,1,1,False,8537.423915610274,8581.656420829788,44.23250521951377,0.4853791504429451,True,12
221,1,1,False,8642.22856105509,8685.763745065897,43.535184010806915,0.48076191393287737,True,17
222,1,1,False,8653.36170160534,8690.302734038645,36.941032433305736,0.4984457509425557,True,10
223,1,1,False,8498.984272465528,8538.102787090183,39.11851462465529,0.49177903718273397,True,16
224,1,1,False,8573.678808513914,8611.826162072355,38.147353558440955,0.4860935618203632,True,14
225,1,1,False,8406.431756260263,8448.741159818854,42.30940355859093,0.49187355120695253,True,14
226,1,1,False,8500.73375397811,8543.724418476548,42.99066449843849,0.48722549376194957,True,17
227,1,1,False,8489.266989818683,8532.720611489282,43.453621670598295,0.49035824309189646,True,32
228,1,1,False,8529.804142474739,8574.869853411554,45.06571093681487,0.4869226713917066,True,14
229,1,1,False,8501.20898170834,8542.364612262438,41.155630554098025,0.4914862880584113,True,12
230,1,1,False,8560.748104977974,8605.593344616287,44.845239638312705,0.49252591074425367,True,25
231,1,1,False,8611.423049150595,8653.08094527398,41.65789612338449,0.49337779256096176,True,14
232,1,1,False,8429.910661151614,8465.974552097921,36.063890946306856,0.47817240635217395,True,21
233,1,1,False,8620.460185473816,8662.170704209537,41.71051873572105,0.47878531502107896,True,17
234,1,1,False,8536.699020536977,8578.613968856798,41.91494831982163,0.4878414597053569,True,19
235,1,1,False,8374.50911493733,8419.038050406358,44.52893546902851,0.48794108815066933,True,10
236,1,1,False,8536.244400811414,8577.502453481351,41.25805266993666,0.48270040906794764,True,13
237,1,1,False,8481.730391019071,8515.541263060832,33.810872041760376,0.49389509190501474,True,28
238,1,1,False,8614.37928409327,8658.123205811778,43.74392171850923,0.4926465922510205,True,15
239,1,1,False,8573.455131398216,8612.733473621642,39.27834222342608,0.4900210323976227,True,14
240,1,1,False,8605.79729024514,8650.45145942404,44.6541691789007,0.49903945200939054,True,31
241,1,1,False,8412.386523094892,8451.85116977712,39.464646682226885,0.4705563923115192,True,16
242,1,1,False,8609.376051965337,8651.512395535543,42.13634357020601,0.4857749837978415,True,34
243,1,1,False,8594.595403436806,8638.981406426694,44.38600298988786,0.4863424390465597,True,41
244,1,1,False,8471.805879051013,8511.265648977238,39.45976992622491,0.4881238754049319,True,23
245,1,1,False,8549.79280091979,8591.254382954667,41.46158203487721,0.4959915068248468,True,12
246,1,1,False,8505.60447769124,8548.618730597746,43.014252906505135,0.4965388723244773,True,11
247,1,1,False,8558.818216676003,8604.77947767134,45.96126099533649,0.4919925826524766,True,18
248,1,1,False,8567.366855965087,8608.568611466218,41.20175550113163,0.48622863178913284,True,18
249,1,1,False,8541.820636598277,8585.876075956921,44.055439358644435,0.48345243404349314,True,13
250,1,1,False,8615.355277781313,8658.810252953639,43.45497517232616,0.4978266990828642,True,13
251,1,1,False,8564.51400968327,8600.65996765041,36.14595796714093,0.46102192228034855,True,48
252,1,1,False,8526.325206058118,8566.613067642049,40.28786158393086,0.47793594390125943,True,28
253,1,1,False,8640.85515964749,8684.843480419038,43.98832077154839,0.4955641922006245,True,12
254,1,1,False,8658.14800258906,8700.563620847348,42.415618258288305,0.4894073022710381,True,12
255,1,1,False,8630.219473553,8674.870482549815,44.65100899681602,0.4800572307785875,True,18
256,1,1,False,8579.325617431412,8617.926966070348,38.60134863893654,0.4914054254258855,True,14
257,1,1,False,8477.857316903719,8519.081787938672,41.22447103495324,0.48731648235335573,True,13
258,1,1,False,8542.723339143216,8582.926587948468,40.20324880525186,0.49300992733599175,True,20
259,1,1,False,8583.204593892751,8620.466891001117,37.2622971083656,0.4959345630314716,True,12
260,1,1,False,8580.624107870613,8619.948566492503,39.32445862188979,0.47817915109119546,True,13
261,1,1,False,8572.783760641307,8612.932474781994,40.148714140686934,0.48231814708519744,True,18
262,1,1,False,8610.210695738748,8651.168527816813,40.95783207806562,0.4975658816817445,True,17
263,1,1,False,8399.421298829144,8440.739002307326,41.31770347818201,0.4788594936365954,True,9
264,1,1,False,8464.565617002885,8501.337346344948,36.77172934206283,0.4919544061732917,True,5
265,1,1,False,8525.903257209684,8563.448173784684,37.54491657499966,0.4851122768920438,True,21
266,1,1,False,8617.162129011744,8658.576231167493,41.41410215574979,0.49283595396229063,True,17
267,1,1,False,8586.602094194342,8619.386522360757,32.78442816641473,0.4774606446231342,True,19
268,1,1,False,8610.571474221155,8651.545992875492,40.97451865433686,0.48400302217392616,True,20
269,1,1,False,8463.6979867557,8504.60521335891,40.90722660320898,0.48822258464844814,True,11
270,1,1,False,8578.604664158987,8620.841599659017,42.236935500030086,0.49887913699787984,True,16
271,1,1,False,8512.903736340271,8555.046397652726,42.14266131245495,0.4914489266049125,True,14
272,1,1,False,8626.861502038491,8668.673542389768,41.812040351276664,0.466198392985247,True,15
273,1,1,False,8551.936196958308,8587.308010141342,35.37181318303374,0.4882606369884903,True,31
274,1,1,False,8599.690537069731,8645.340731131177,45.65019406144529,0.4938702765742107,True,16
275,1,1,False,8574.321815050984,8616.31018312943,41.988368078446,0.4891806652443255,True,12
276,1,1,False,8679.332698457436,8720.74588938177,41.41319092433332,0.4857783894150095,True,20
277,1,1,False,8660.89716937825,8691.757299435412,30.860130057162678,0.49706342078451426,True,6
278,1,1,False,8529.915015604252,8568.451305944816,38.53629034056394,0.49931036626821207,True,13
279,1,1,False,8380.788138341579,8413.38278215554,32.59464381396174,0.46002253354469086,True,17
