repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
82,Target-calibrated associative latent model,True,20,1,-7742.948478370361,0.4854372673572853,2.115179680387821
82,Modular causal latent SCM,True,20,1,-7747.850593645612,0.4855492487013084,2.108922541074133
83,Pooled associative latent class model,True,25,2,-7904.9079113285125,0.478841106745712,1.7605521936341564
83,Target-calibrated associative latent model,True,24,3,-7705.156306747188,0.4710030408091978,1.9000522453873745
83,Modular causal latent SCM,True,22,1,-7710.48907111943,0.47442570765652137,1.8754613895828405
84,Pooled associative latent class model,True,19,3,-8061.996587324052,0.4939427308430178,1.9417605008798593
84,Target-calibrated associative latent model,True,24,1,-7829.160044353551,0.47779093309541687,1.9868097478750846
84,Modular causal latent SCM,True,20,3,-7834.087966730904,0.4799167021662081,1.979969626935568
85,Pooled associative latent class model,True,27,1,-7951.135668676412,0.4807901091676447,1.9449524707968986
85,Target-calibrated associative latent model,True,23,1,-7732.732908825159,0.48965833714098506,1.9450004202066002
85,Modular causal latent SCM,True,23,1,-7738.603069203864,0.48548245447949345,1.9519173762158188
86,Pooled associative latent class model,True,12,3,-8030.420837624197,0.4941473183417511,2.04754284737759
86,Target-calibrated associative latent model,True,20,2,-7794.689672180153,0.4885531990431197,2.118959390825303
86,Modular causal latent SCM,True,16,0,-7797.530382587933,0.48493167665953896,2.124550166694121
87,Pooled associative latent class model,True,41,3,-7999.406369190999,0.4486494141025464,1.975527151085402
87,Target-calibrated associative latent model,True,21,2,-7769.599458137391,0.48188110579286786,2.0642577881281836
87,Modular causal latent SCM,True,23,2,-7776.44525351033,0.4717498686746629,2.0687035668889404
88,Pooled associative latent class model,True,24,2,-7974.60902727715,0.4856689177668416,1.866129596578587
88,Target-calibrated associative latent model,True,24,3,-7725.91763496452,0.48111822733685505,1.9262384252218112
88,Modular causal latent SCM,True,20,3,-7732.523056889826,0.4875399201124296,1.9311224558158977
89,Pooled associative latent class model,True,21,1,-7943.66433494334,0.488806513126764,1.8810648866248136
89,Target-calibrated associative latent model,True,25,3,-7716.91513973297,0.4993299911498699,1.9928328601208414
89,Modular causal latent SCM,True,17,0,-7723.669149158752,0.49944620745051843,1.9966763828387686
90,Pooled associative latent class model,True,24,0,-7947.69501698569,0.47859734421988553,1.791162986200595
90,Target-calibrated associative latent model,True,20,0,-7722.126645456096,0.48463413124202753,1.9252799005889414
90,Modular causal latent SCM,True,20,0,-7722.237643637023,0.48768848333365317,1.9193647381297338
91,Pooled associative latent class model,True,19,2,-8040.022332007374,0.4911598383806607,2.0341014717923422
91,Target-calibrated associative latent model,True,14,0,-7789.747921149618,0.489080659697712,2.2097497402958464
91,Modular causal latent SCM,True,14,0,-7795.827998534998,0.48944281734970874,2.2055296897738352
92,Pooled associative latent class model,True,23,1,-8052.308682294631,0.4764347368567824,1.899591016082379
92,Target-calibrated associative latent model,True,26,1,-7812.7188989826045,0.4499151224070685,1.935166726718525
92,Modular causal latent SCM,True,24,0,-7821.660508301323,0.4565576223041665,1.9628438259576066
93,Pooled associative latent class model,True,19,3,-8072.251567138773,0.4816702431458145,2.05300287603239
93,Target-calibrated associative latent model,True,20,1,-7832.9713410436925,0.48579840072889424,2.06984246682635
93,Modular causal latent SCM,True,21,1,-7834.182131297983,0.48488486595202634,2.082777848340906
94,Pooled associative latent class model,True,18,0,-7904.634545362215,0.48133477021974386,2.036194904890717
94,Target-calibrated associative latent model,True,22,1,-7663.762402987902,0.4795287945192309,2.138788330470898
94,Modular causal latent SCM,True,22,1,-7667.295596474484,0.483179228418583,2.12545175759419
95,Pooled associative latent class model,True,16,0,-8022.4255769090305,0.49524646302916164,2.086071832564686
95,Target-calibrated associative latent model,True,16,0,-7798.70811634998,0.49702631514276757,2.05077617416221
95,Modular causal latent SCM,True,16,0,-7803.310975137107,0.4973992438913088,2.0539150159815107
96,Pooled associative latent class model,True,18,1,-8061.72735577524,0.47503382237294783,1.703228062857625
96,Target-calibrated associative latent model,True,23,3,-7804.157630911999,0.46626378369407906,1.8654652606558628
