renal_effect_sd,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0.0,Data-generating oracle (reference),mean_posterior_entropy,0.3818351453875611,0.3812209970885129,0.38244929368660924,0.00031258671136356967,500
0.0,Data-generating oracle (reference),predicted_atrial_prevalence,0.500036,0.49868902439707746,0.5013829756029226,0.0006855781814539989,500
0.5,Associative latent class model,accuracy,0.806336,0.8049699986853035,0.8077020013146966,0.0006952618110984827,500
0.5,Associative latent class model,adjusted_rand_index,0.3757055604449814,0.37239447448203233,0.3790166464079304,0.0016852631095850704,500
0.5,Associative latent class model,false_atrial_renal_competing,0.3414250620404333,0.33272382459436955,0.3501262994864971,0.004428720558656514,500
0.5,Associative latent class model,brier_score,0.13602216967754227,0.1351660152687922,0.13687832408629233,0.0004357619999361215,500
0.5,Associative latent class model,expected_calibration_error,0.05214114109394771,0.05016157179026851,0.05412071039762691,0.0010075531585976199,500
0.5,Associative latent class model,mean_posterior_entropy,0.3697908665354114,0.36812162072365884,0.3714601123471639,0.0008496059657932775,500
0.5,Associative latent class model,predicted_atrial_prevalence,0.50255,0.49781387370884983,0.5072861262911502,0.002410574358420613,500
0.5,Renal-adjusted associative latent class model,accuracy,0.8163400000000001,0.8150562290894209,0.8176237709105793,0.0006534085133901606,500
0.5,Renal-adjusted associative latent class model,adjusted_rand_index,0.40053661314605965,0.39732655834381525,0.40374666794830405,0.0016338406790111272,500
0.5,Renal-adjusted associative latent class model,false_atrial_renal_competing,0.18458629296540546,0.17650165847919722,0.1926709274516137,0.004114884483986934,500
0.5,Renal-adjusted associative latent class model,brier_score,0.1290105616614828,0.12823648508166915,0.12978463824129646,0.0003939863593247941,500
0.5,Renal-adjusted associative latent class model,expected_calibration_error,0.046710669028113834,0.04486590135463693,0.04855543670159074,0.0009389423713713264,500
0.5,Renal-adjusted associative latent class model,mean_posterior_entropy,0.3699875546766858,0.36833886609124217,0.37163624326212946,0.0008391428320898829,500
0.5,Renal-adjusted associative latent class model,predicted_atrial_prevalence,0.49974599999999997,0.4953088337215896,0.5041831662784103,0.002258410903182862,500
0.5,Biologically constrained latent SCM,accuracy,0.819184,0.8179940129051289,0.8203739870948712,0.0006056748070903117,500
0.5,Biologically constrained latent SCM,adjusted_rand_index,0.4076533627840259,0.40463466810661414,0.4106720574614377,0.0015364429784878956,500
0.5,Biologically constrained latent SCM,false_atrial_renal_competing,0.1818179890341936,0.17572817749267305,0.18790780057571416,0.003099567589030278,500
