repeat,method,renal_effect_sd,bic_k1,bic_k2,delta_bic_k2_minus_k1,selected_k2,k2_converged,k2_minimum_effective_class_fraction
284,Renal-adjusted associative latent class model,1.5,6785.746424564336,6817.92520931339,32.1787847490541,False,True,0.48599908349885995
284,Biologically constrained latent SCM,1.5,6774.588416077765,6803.699511281523,29.11109520375794,False,True,0.3536225833279677
285,Associative latent class model,1.5,8183.409777910169,7927.770934052978,-255.6388438571912,True,True,0.2946198501896753
285,Renal-adjusted associative latent class model,1.5,6935.711060951096,6963.467768973487,27.75670802239074,False,True,0.44058927888478905
285,Biologically constrained latent SCM,1.5,6924.94965159063,6951.631158332708,26.681506742077545,False,True,0.49932992039317514
286,Associative latent class model,1.5,8174.4334621354055,7929.783437545835,-244.65002458957042,True,True,0.33620343674084696
286,Renal-adjusted associative latent class model,1.5,6952.7434779606065,6976.066119439893,23.322641479286176,False,True,0.35806146183245807
286,Biologically constrained latent SCM,1.5,6939.785150954068,6963.822989705234,24.03783875116642,False,True,0.35927481365114206
287,Associative latent class model,1.5,8095.71610682013,7829.612091619963,-266.10401520016694,True,True,0.2957572423954783
287,Renal-adjusted associative latent class model,1.5,6842.4767925614815,6873.021358832046,30.544566270564246,False,True,0.4812798669434346
287,Biologically constrained latent SCM,1.5,6829.4576366683605,6859.888534744387,30.430898076026097,False,True,0.480600619852414
288,Associative latent class model,1.5,8109.677648600414,7862.515267697147,-247.16238090326715,True,True,0.2610528280666696
288,Renal-adjusted associative latent class model,1.5,6889.528865172011,6918.956660062582,29.427794890571022,False,True,0.2687486180584801
288,Biologically constrained latent SCM,1.5,6877.413094309714,6905.886218233818,28.473123924103675,False,True,0.2641468726857926
289,Associative latent class model,1.5,8161.460310509342,7910.691155574865,-250.76915493447723,True,True,0.30502157049033
289,Renal-adjusted associative latent class model,1.5,6936.934023781572,6955.116471472811,18.18244769123885,False,True,0.44885483663175224
289,Biologically constrained latent SCM,1.5,6923.816347534852,6946.613802470638,22.797454935785936,False,True,0.4020975251655012
290,Associative latent class model,1.5,8168.6704450087,7888.658437708652,-280.012007300048,True,True,0.2982919484628983
290,Renal-adjusted associative latent class model,1.5,6886.109064403444,6915.621565590214,29.51250118677035,False,True,0.4882964283997957
290,Biologically constrained latent SCM,1.5,6875.174314439532,6906.187072009169,31.01275756963696,False,True,0.468200686356288
291,Associative latent class model,1.5,7994.2881908305635,7785.045679119241,-209.24251171132255,True,True,0.3159717740171269
291,Renal-adjusted associative latent class model,1.5,6805.973034628983,6827.589118533807,21.616083904823427,False,True,0.3245719172112096
291,Biologically constrained latent SCM,1.5,6793.87713578443,6816.961566221873,23.08443043744319,False,True,0.33110421488250474
292,Associative latent class model,1.5,8192.296858095126,7949.333415569524,-242.96344252560175,True,True,0.28494867363303
292,Renal-adjusted associative latent class model,1.5,6944.316268737963,6971.985010638253,27.668741900290115,False,True,0.3903065430110567
292,Biologically constrained latent SCM,1.5,6933.235265092839,6959.512998900111,26.277733807271943,False,True,0.4320742689801746
293,Associative latent class model,1.5,8089.402974002131,7836.928810023276,-252.47416397885445,True,True,0.30638140430506855
293,Renal-adjusted associative latent class model,1.5,6823.006774178377,6852.2759034290575,29.269129250680635,False,True,0.3776264967754976
293,Biologically constrained latent SCM,1.5,6810.276251564977,6843.072988861644,32.796737296666834,False,True,0.36243953283096253
294,Associative latent class model,1.5,8129.48700973187,7843.439876409206,-286.0471333226642,True,True,0.2718863532873819
294,Renal-adjusted associative latent class model,1.5,6867.430587379118,6892.771643806038,25.34105642691975,False,True,0.2294427164105141
294,Biologically constrained latent SCM,1.5,6858.91539647198,6886.681741769111,27.76634529713101,False,True,0.38594002650513765
295,Associative latent class model,1.5,8179.371131737606,7912.386186040941,-266.9849456966658,True,True,0.34506660600024675
295,Renal-adjusted associative latent class model,1.5,6914.626873595577,6943.1858150269945,28.558941431417225,False,True,0.4687240888966642
295,Biologically constrained latent SCM,1.5,6902.741423998185,6931.13179925109,28.39037525290496,False,True,0.4667795183058518
296,Associative latent class model,1.5,8093.074884782444,7874.207777780024,-218.8671070024202,True,True,0.31097701924937765
296,Renal-adjusted associative latent class model,1.5,6866.958863489798,6895.666056679682,28.707193189883583,False,True,0.375644433245983
296,Biologically constrained latent SCM,1.5,6854.18518403004,6884.046500868142,29.86131683810254,False,True,0.249819052584008
297,Associative latent class model,1.5,8035.2334760667445,7711.920760639446,-323.3127154272988,True,True,0.29777719416709225
297,Renal-adjusted associative latent class model,1.5,6735.825888397595,6754.460694028194,18.63480563059875,False,True,0.4447539738174088
297,Biologically constrained latent SCM,1.5,6729.304797803322,6745.632980865026,16.328183061704294,False,True,0.3765110181479862
298,Associative latent class model,1.5,8046.469108411365,7808.809096235678,-237.66001217568646,True,True,0.2892608804084829
298,Renal-adjusted associative latent class model,1.5,6803.413590264065,6831.163199713959,27.749609449894706,False,True,0.4523889994897955
298,Biologically constrained latent SCM,1.5,6794.049686641213,6821.729708494855,27.680021853641847,False,True,0.44407568334235537
299,Associative latent class model,1.5,8101.932828584559,7872.042717000458,-229.89011158410085,True,True,0.3058968646182955
