repeat,truth_k,selected_k,select_k2,bic_k1,bic_k2,bic_k2_minus_k1,minimum_k2_weight,k2_converged,k2_iterations
105,1,1,False,8540.39718463231,8584.140337087489,43.74315245517937,0.49213438192058345,True,34
106,1,1,False,8418.207971704483,8456.807238740814,38.599267036330275,0.4923206273652727,True,48
107,1,1,False,8591.882903027137,8632.654257702205,40.771354675067414,0.49942392688537846,True,11
108,1,1,False,8487.957299886188,8525.509718337527,37.55241845133969,0.4788195392924553,True,14
109,1,1,False,8523.723390223971,8567.038976463236,43.31558623926503,0.4984239487899983,True,11
110,1,1,False,8563.384409654402,8606.728234072956,43.343824418554505,0.49492808132084587,True,11
111,1,1,False,8519.858371487859,8562.78264155205,42.92427006419166,0.477128654734916,True,14
112,1,1,False,8538.816267143551,8581.836072055468,43.01980491191716,0.491813754296173,True,16
113,1,1,False,8564.805423821777,8603.376103666402,38.570679844624465,0.4889340985479386,True,12
114,1,1,False,8452.455052047215,8494.951695650014,42.49664360279894,0.49763187586519303,True,47
115,1,1,False,8551.329099036931,8591.459811673105,40.130712636173484,0.4617769389198621,True,25
116,1,1,False,8376.526180289162,8412.449868288824,35.923687999662434,0.46507192052554136,True,15
117,1,1,False,8591.75747638121,8634.11036255062,42.35288616941034,0.4987033887505328,True,13
118,1,1,False,8488.388733348267,8531.848256662428,43.45952331416083,0.499271228444334,True,28
119,1,1,False,8573.135956265996,8613.839963247085,40.70400698108824,0.4855153119098638,True,20
120,1,1,False,8431.243313703908,8473.354976962859,42.11166325895101,0.4986360943315005,True,12
121,1,1,False,8568.25736542423,8609.381281585089,41.12391616085915,0.49280869458279003,True,24
122,1,1,False,8724.71405747284,8763.50918451187,38.79512703902947,0.49949812471026717,True,19
123,1,1,False,8495.804570301701,8539.50309984898,43.69852954727867,0.48074664248905696,True,12
124,1,1,False,8469.78616523074,8510.827216376607,41.04105114586673,0.49751894452188977,True,8
125,1,1,False,8550.52226865091,8595.46457399284,44.94230534193048,0.4719381013591236,True,14
126,1,1,False,8544.01600483165,8589.046098393075,45.03009356142502,0.49334884147996655,True,17
127,1,1,False,8461.350680912841,8503.574888187795,42.2242072749541,0.4805561902670805,True,16
