repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
84,Modular causal latent SCM,True,25,1,-7843.209911764459,0.47700783057194096,1.9656388648949052
85,Pooled associative latent class model,True,26,1,-7947.774642685095,0.4736574990765376,1.9941091063498495
85,Target-calibrated associative latent model,True,23,2,-7735.598804132352,0.49251088433570567,1.9705087936958159
85,Modular causal latent SCM,True,23,1,-7744.130561348041,0.4872158561430462,1.9519013407185226
86,Pooled associative latent class model,True,16,0,-8026.3979845568865,0.4883096418342316,2.043763022380828
86,Target-calibrated associative latent model,True,16,3,-7798.25687250345,0.48102083624240105,2.110321102313451
86,Modular causal latent SCM,True,18,2,-7800.122728770688,0.47946377623227676,2.1007053819023938
87,Pooled associative latent class model,True,39,2,-7999.364840440828,0.4494978468119129,1.982716769586351
87,Target-calibrated associative latent model,True,21,2,-7766.298576757108,0.4823009655077878,2.0485996980606673
87,Modular causal latent SCM,True,24,2,-7773.268577522171,0.4720614805968143,2.058797449708745
88,Pooled associative latent class model,True,24,2,-7974.6071954832305,0.4772615395104993,1.9147531025641586
88,Target-calibrated associative latent model,True,24,3,-7739.307083512348,0.4783872758145616,1.9566457539957447
88,Modular causal latent SCM,True,21,1,-7744.908567076627,0.4853605123895059,1.9407077807990352
89,Pooled associative latent class model,True,19,2,-7933.540403067804,0.4935621071017237,1.9153818177597688
89,Target-calibrated associative latent model,True,25,3,-7718.976358300178,0.499044537874232,1.9818123482166474
89,Modular causal latent SCM,True,17,0,-7723.137922286365,0.4995166511073632,1.9894406081963445
90,Pooled associative latent class model,True,27,2,-7897.669575921338,0.47592238561915606,1.8060033074923523
90,Target-calibrated associative latent model,True,20,0,-7710.886005099613,0.4867480523615788,1.9160595505931655
90,Modular causal latent SCM,True,20,0,-7713.208486439376,0.4882304308955546,1.9135399095098689
91,Pooled associative latent class model,True,18,2,-8045.4162426262465,0.4885391677685151,2.023572116414777
91,Target-calibrated associative latent model,True,14,0,-7794.361423726688,0.4892583491420372,2.21615112294901
91,Modular causal latent SCM,True,14,0,-7800.211721154158,0.4911156774433098,2.215287441677062
