repeat,renal_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
311,0.5,Data-generating oracle (reference),0.813,0.3912670198706246,0.22297297297297297,0.12571129779502388,0.022258382621263367,0.39005017455162594,0.509,148
312,0.5,Associative latent class model,0.798,0.35457100305671607,0.34265734265734266,0.14290834084532986,0.059835388958009154,0.3711319522918475,0.468,143
312,0.5,Renal-adjusted associative latent class model,0.788,0.3311091883178982,0.15384615384615385,0.14074424493912624,0.06661852319164974,0.37409070839277825,0.438,143
312,0.5,Biologically constrained latent SCM,0.795,0.3474488931121673,0.16783216783216784,0.13985631978117652,0.06741157255614147,0.3743391297475797,0.447,143
312,0.5,Data-generating oracle (reference),0.813,0.3912671486925701,0.22377622377622378,0.12865674384844816,0.02409307376191449,0.3819086804331938,0.495,143
313,0.5,Associative latent class model,0.817,0.40135705567040814,0.3825503355704698,0.13054372043728393,0.03676851938422156,0.343414079268516,0.492,149
313,0.5,Renal-adjusted associative latent class model,0.833,0.4429986760412483,0.2080536912751678,0.1176769310368922,0.02388577738355803,0.3577096781783947,0.494,149
313,0.5,Biologically constrained latent SCM,0.835,0.44834802849223276,0.20134228187919462,0.11744244524465058,0.0253730189196782,0.35891797263867087,0.494,149
313,0.5,Data-generating oracle (reference),0.83,0.4350349967669028,0.15436241610738255,0.1159581369148795,0.022063018948464363,0.3773250306316636,0.485,149
314,0.5,Associative latent class model,0.813,0.3912679831061242,0.3793103448275862,0.13484713775004253,0.049373993394182046,0.3612615044758835,0.495,145
314,0.5,Renal-adjusted associative latent class model,0.823,0.41673017510061994,0.2620689655172414,0.1276030394167376,0.057853263595853785,0.359446425613297,0.533,145
314,0.5,Biologically constrained latent SCM,0.813,0.3912604237628125,0.2620689655172414,0.13153581401076564,0.07646449882344222,0.3565498206872215,0.549,145
314,0.5,Data-generating oracle (reference),0.836,0.4510353391633527,0.18620689655172415,0.1191717461161,0.02654721066903087,0.3836167046091381,0.488,145
315,0.5,Associative latent class model,0.801,0.36178093106348425,0.16666666666666666,0.14126513391113846,0.07328826682826635,0.38720603603646575,0.42,180
315,0.5,Renal-adjusted associative latent class model,0.808,0.3788507680958219,0.05555555555555555,0.13498739792351516,0.06328176715256284,0.38117992876860446,0.417,180
315,0.5,Biologically constrained latent SCM,0.808,0.37884921296490875,0.06666666666666667,0.1336956702939994,0.061447733856855244,0.3842791003087283,0.421,180
315,0.5,Data-generating oracle (reference),0.825,0.4219215064843173,0.14444444444444443,0.12863459112705944,0.02517328631548221,0.3783808876017253,0.492,180
316,0.5,Associative latent class model,0.778,0.3084492714359757,0.5225806451612903,0.1528569768834841,0.07651598200863977,0.3762758637548462,0.575,155
316,0.5,Renal-adjusted associative latent class model,0.804,0.3690338319188558,0.27741935483870966,0.1298490679686736,0.044004741832973995,0.3951466824218183,0.535,155
316,0.5,Biologically constrained latent SCM,0.804,0.36903495936863634,0.3225806451612903,0.13616949215810994,0.06565805762800507,0.3893975353172106,0.551,155
