repeat,atrial_probability_if_renal_impaired,renal_effect_sd,method,fitted_prior_atrial_given_renal,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
147,0.7,1.5,Associative latent class model,,0.623,0.0583263363158293,0.8602150537634409,0.2990688753181333,0.30165768924282793,0.21557439079445614,0.35,93
147,0.7,1.5,Renal-adjusted associative latent class model,0.7820797971237998,0.802,0.3640986261630246,0.5376344086021505,0.1287580520480928,0.04876432970026464,0.3559507644708643,0.549,93
147,0.7,1.5,Biologically constrained latent SCM,0.7689233279778589,0.801,0.3616723686667069,0.5161290322580645,0.12615063674250973,0.04759718655180491,0.3634280660190186,0.552,93
147,0.7,1.5,Data-generating oracle (reference),,0.824,0.41917652443648734,0.3548387096774194,0.12059307503140702,0.022841463883106466,0.3750373837720812,0.567,93
148,0.7,1.5,Associative latent class model,,0.646,0.08311780179941206,0.8210526315789474,0.2784659940789683,0.2807488850885325,0.22960171641142688,0.4,95
148,0.7,1.5,Renal-adjusted associative latent class model,0.7024735602959958,0.838,0.45567161925157934,0.24210526315789474,0.11934868419081567,0.02236365098410443,0.38451144985189745,0.602,95
148,0.7,1.5,Biologically constrained latent SCM,0.7860038781840892,0.83,0.4341793808977742,0.43157894736842106,0.12127997609581666,0.023111632692640688,0.36351925669164925,0.606,95
148,0.7,1.5,Data-generating oracle (reference),,0.829,0.4318772082464321,0.3157894736842105,0.11862943005618796,0.028526532575149862,0.37856914467905733,0.583,95
149,0.7,1.5,Associative latent class model,,0.628,0.06198839264265756,0.7631578947368421,0.29209658311701525,0.29998240264441933,0.2141647269762049,0.322,76
149,0.7,1.5,Renal-adjusted associative latent class model,0.6333158100304263,0.862,0.5236614662222693,0.23684210526315788,0.10407597885293675,0.05003559275947128,0.3435739408894685,0.534,76
149,0.7,1.5,Biologically constrained latent SCM,0.6305517680844993,0.861,0.5207844687695944,0.2236842105263158,0.10488072780012313,0.05559870704733053,0.34606011955141386,0.527,76
149,0.7,1.5,Data-generating oracle (reference),,0.869,0.5438782088900581,0.3157894736842105,0.0992268194154237,0.025504694914658656,0.35511217934023914,0.589,76
150,0.7,1.5,Associative latent class model,,0.632,0.06780690725992525,0.946236559139785,0.2795342692761007,0.28962839728079887,0.242749535953313,0.394,93
150,0.7,1.5,Renal-adjusted associative latent class model,0.7585011034927036,0.831,0.43738284061813987,0.4838709677419355,0.11781682162020209,0.025460573983416907,0.370084920955692,0.577,93
150,0.7,1.5,Biologically constrained latent SCM,0.7311796266173349,0.838,0.45580668101006216,0.40860215053763443,0.11396321970899773,0.029503231303202843,0.379471930094578,0.612,93
150,0.7,1.5,Data-generating oracle (reference),,0.844,0.4723156679075895,0.3225806451612903,0.11041465965222036,0.018474245620736622,0.3665779473759533,0.602,93
151,0.7,1.5,Associative latent class model,,0.663,0.10509643797391725,0.7757009345794392,0.26431466782481255,0.2542497322636344,0.21228955800450597,0.374,107
151,0.7,1.5,Renal-adjusted associative latent class model,0.6565092759142063,0.831,0.4376662126722681,0.22429906542056074,0.11745944314239481,0.025769327286404548,0.3692055218017502,0.54,107
151,0.7,1.5,Biologically constrained latent SCM,0.7295668585598482,0.832,0.4403295964219672,0.2897196261682243,0.11907008546991661,0.03072974544987607,0.3512022202325958,0.529,107
151,0.7,1.5,Data-generating oracle (reference),,0.833,0.4429636532898957,0.2803738317757009,0.11678923253262784,0.023107600996843867,0.3673885464813663,0.558,107
152,0.7,1.5,Associative latent class model,,0.612,0.04839221263141815,0.900990099009901,0.31766560837054353,0.32260029209427454,0.18598532114903385,0.35,101
152,0.7,1.5,Renal-adjusted associative latent class model,0.675931262055985,0.821,0.4115211444823964,0.3069306930693069,0.12728742769045265,0.028521589736650466,0.39023569939652714,0.551,101
152,0.7,1.5,Biologically constrained latent SCM,0.6835638339243322,0.82,0.4088733306623172,0.33663366336633666,0.1274118845703489,0.02834075131146882,0.3887883930454381,0.578,101
